test_id,category,fetch_fault,rf_fault,fw_pass,trap_seen,fetch_single_cnt,fetch_double_cnt,fetch_fatal_cnt,rf_single_err,rf_double_err,rf_fatal,result
341,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
342,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
343,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
344,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
345,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
346,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
347,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
348,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
349,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
350,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
351,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
352,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
353,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
354,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
355,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
356,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
357,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
358,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
359,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
360,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
361,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
362,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
363,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
364,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
365,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
366,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
367,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
368,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
369,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
370,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
371,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
372,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
373,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
374,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
375,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
376,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
377,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
378,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
379,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
380,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
381,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
382,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
383,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
384,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
385,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
386,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
387,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
388,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
389,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
390,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
391,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
392,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
393,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
394,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
395,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
396,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
397,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
398,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
399,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
400,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
401,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
402,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
403,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
404,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
405,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
406,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
407,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
408,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
409,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
410,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
